[2025-12-06 10:16:24,156: INFO: main: Initializing the kidney_disease_prediction package]
[2025-12-06 19:40:19,502: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-06 19:41:25,529: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-06 19:42:06,787: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-06 19:42:06,797: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-06 19:42:06,797: INFO: common: created directory at: artifacts]
[2025-12-06 19:42:06,797: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-06 19:42:06,797: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-06 19:42:20,953: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-07 01:06:33,720: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-12-07 01:06:33,736: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-07 01:06:33,736: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-07 01:06:33,736: INFO: common: created directory at: artifacts]
[2025-12-07 01:06:33,747: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-07 01:06:33,747: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-07 01:07:12,672: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-07 01:07:13,480: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
